"A great front-facing phone that's great
",POSITIVE
"Unlike competitors, this phone does not have a memory card, and this problem makes the device use internal storage",NEGATIVE
Another problem with this product is the lack of Persian language and if an Iranian who does not know foreign languages can not use this product.,NEGATIVE
Supernatural speed imagination excellent sound quality,POSITIVE
It really is far from the present that everything is all about,POSITIVE
"All of Apple's strengths include core CPUs, camera and audio playback, appearance",POSITIVE
Beautiful Cheerful Lovely Running Run,POSITIVE
"Very good camera, high definition in very high speed recording",POSITIVE
"I wish the battery capacity was better, too weak",NEGATIVE
The lack of resistance to moisture and water is really a great weakness that can be destroyed by a simple tap water.,NEGATIVE
"Poor battery, poor battery charger, no resistance to water",NEGATIVE
Flexible and fast operating system. Beautiful appearance. Excellent build quality,POSITIVE
"Variety of accessories, especially the various frames, lack of hug, strong support for newer versions",POSITIVE
Low-power Salafi Low-Power Battery,NEGATIVE
The battery is weak after a year of operation and it's getting loose sooner than the first days of using this handset,NEGATIVE
App Store is sometimes closed for Iran's IP and can not download it,NEGATIVE
Great body shape with a strong battery design,POSITIVE
Camera bumps are very expensive accessories,NEGATIVE
OS restrictions Occasional blocking of the Apple store for sanctions,NEGATIVE
Sophisticated 3D touch is not at all efficient,NEGATIVE
The handset is very good and good. It has a beautiful design and is very efficient,POSITIVE
"If you can not pay for it, do not worry about buying it.",POSITIVE
A big amount of front camera could have been better,NEGATIVE
"Touches the highest quality and efficiency, and the highest technology is the advantage",POSITIVE
The most beautiful and smartest phone is always the best.,POSITIVE
High-performance chip high quality super-high battery life,POSITIVE
Retina flash and slightly curved plate in a great word,POSITIVE
Beautiful design and high speed touch camera ID camera and good selfie camera,POSITIVE
The protruding camera lens has a lot of weight,NEGATIVE
"Strong, low-noise camera with much faster and more practical applications than Android",POSITIVE
"Camera: High-performance, high-quality photos, great video recording, awesome slam calls",POSITIVE
"A fast, flowing, unregulated operating system for those who are tired of being sluggish",POSITIVE
"Quality of construction: good body and metal body, convenient placement of buttons, high quality and responsive display under sunlight",POSITIVE
Hanging the phone is heavily nervous,NEGATIVE
This handset is superb at great price,POSITIVE
It does not work well and ruins my eyes,NEGATIVE
The really fastest touchscreen really needs to be tested so you can figure out what's going on. It's also a really interesting 3-D touch and makes the cartoon faster and better.,POSITIVE
The original Salafi camera has changed a lot and is much better than before,POSITIVE
"In terms of processors, which is really great, and there's nothing to be fooled, the resolution of the screen is much better, and you see everything at noon in the sun.",POSITIVE
The quality of the camera and the bottom of the screen is not good.,NEGATIVE
Transparency of the page is an eye-catching and eye-catching.,POSITIVE
"In my opinion, this handset has all the capabilities of a good, modern and efficient handset",POSITIVE
"Ultra-powerful hardware, great operating system and its unique features",POSITIVE
"There is no lag in the top, and there is a phone in its entirety",POSITIVE
Restrictions on downloading files from the Internet and limiting communication and file transfer with devices,NEGATIVE
Really working with it is because of the speed of its IOS operating system,POSITIVE
Apple currently uses the best technology and the best parts to make its handsets,POSITIVE
"After a few hours of wearing out parts, it's hard to do with two hands",NEGATIVE
Superior rear and rear camera. High quality display. Superior processing power,POSITIVE
The answer is very fast and unparalleled to all commands,POSITIVE
The quality of the build quality of software and operating system is very fluid and excellent,POSITIVE
Easy to use fingerprint sensor very accurate and fast,POSITIVE
"In all respects, the strengths of all of what I have said are true and the strengths are really great",POSITIVE
The battery is modest in terms of its mid-volume speaker volume,NEGATIVE
The prominence of the camera is good and not good,NEGATIVE
This handset has nothing short of speed and security,POSITIVE
It was really great for me to buy it very well,POSITIVE
Sophisticated interface The page quality is very low,NEGATIVE
"Its design does not make any changes to the previous model. In my opinion, this handset is very close to its own",NEGATIVE
I bought this handset first. It's really a great battery. It's a day with heavy use and two days using the Dome-style,POSITIVE
The touch of the three-dimensional phone boosts the phone's weight. It's an outstanding lens,NEGATIVE
"I'm new, I'm very satisfied with it. It's really a good phone",POSITIVE
High-resolution camera for awesome and very smooth hardware,POSITIVE
The operating system is superb and synchronized with stable hardware,POSITIVE
"The body and glass of the phone are excellent, the anti-lens of the lens",POSITIVE
"The quality of the image, which does not mean to the camera, which is much weaker than the other cameras",NEGATIVE
"Just because famous people are famous and well-groomed, and people are biting, it's really not worth buying at a price.",NEGATIVE
Elegant design with high quality and classy performance,POSITIVE
"After the new update, the battery will be empty and the weak spot",NEGATIVE
"In all respects, it's worth buying because of its very powerful hardware",POSITIVE
It's much better and more refined and best seller. Excellent overall and very stylish,POSITIVE
"Everything is great, I'd recommend to buy",POSITIVE
There is no disadvantage without hesitation. Ordering the body,POSITIVE
Extremely hands-on and nice performance at fast running apps,POSITIVE
"This is the most appropriate size of the handset, as well as its beautiful design.",POSITIVE
Ultra-functional design and full hardware alignment with the ergonomic phone software in the true sense,POSITIVE
"I wish his body was made of titanium, not aluminum",NEGATIVE
This handset is thought out and well-designed and accurately designed,POSITIVE
Fluffy and fast appearance is superbly appetizing,POSITIVE
"If you want to play with it or heavier performance, the side of this handset will not be too comfortable for gaming",NEGATIVE
"It's been a week since I bought it, and you've been sitting so hard at this time, really worth the money I've given",POSITIVE
The good quality of a good camera is a superb high-speed battery,POSITIVE
This handset is very elegant and has a great and powerful software,POSITIVE
"After a week's work, I got bored with her. Did not meet my expectations.",NEGATIVE
"Its weaknesses are bigger than its strengths, and it has its own grievances",NEGATIVE
"In the making of this handset, there is a mistake and the final product is incomplete",NEGATIVE
It's really a really great phone. It's not too much for friends to say,POSITIVE
Excellent home screen speaker quality,POSITIVE
I bought a high speed after a bit of research and I'm quite pleased,POSITIVE
"The camera is fantastic. Its selfies are fairly acceptable in dark places, but the main camera is great",POSITIVE
"Filming is very good, and at no time will your video shake, and you take the parachute particles on your screen, and the microphone is a great camera.",POSITIVE
Antenna is good and can not be disconnected,POSITIVE
"Really good resolution, the quality of the sound of the call and the speaker is very good",POSITIVE
Many menus and programs run smoothly and do not tick,POSITIVE
Break the edges or leave the plate or paint it,NEGATIVE
It's very heavy and ticking and its menu or the whole phone is not smooth,NEGATIVE
There are numerous software bugs that make the user tired and tired,NEGATIVE
Big bangs and legs are often unbearable at times,NEGATIVE
The high price we are considering is not worth buying and it's unreasonable to buy it with Iran.,NEGATIVE
I'm sorry to buy it. It does not work well,NEGATIVE
The phone is good. All the facilities. Good and good choice,POSITIVE
Fingerprint Sensor Properly fits perfectly between software and hardware,POSITIVE
Superior appearance is a great battery,POSITIVE
The finger sensor changes and has a much better performance,POSITIVE
The selfie camera has a low noise and low noise condition. Power Laugh was,NEGATIVE
It's easy to type and handle it. It's very nice,POSITIVE
Selfie camera is not interesting if you already had a big screen phone,NEGATIVE
The value of a high purchase compared to a superb performance price,POSITIVE
"A good choice for those who are a durable, high quality, yet efficient and stylish handset.",POSITIVE
"After a while, he loses his speed.",NEGATIVE
Low power hardware and the inability to run heavy games and games.,NEGATIVE
The low processing power of this handset is disappointing and does not meet expectations,NEGATIVE
"After a month of using a low altitude, I leaped from my hand and fell to the ground and the page defeat was cracked and could no longer be used.",NEGATIVE
The warranty and support are very poor and unfortunately do not pay attention to customer demands.,NEGATIVE
Slow down is not meaning and it's really smooth and it's fun.,POSITIVE
"In a word, in the true sense of the handset, it's a good quality. You do not doubt it, even for a moment",POSITIVE
A lot of margins around the screen. Old is gone,NEGATIVE
"The camera is good, but it could have been stronger. The speakerphone's loudness could have been stereo and taller.",NEGATIVE
Very good speed and no hang. Very suitable size.,POSITIVE
"Build quality is very good. Main camera is very high quality in all optical conditions, even with no optical stabilizer",POSITIVE
Do not get hot in the usual use. I'm completely satisfied with the use of it in six months.,POSITIVE
The front camera is weak. Old design,NEGATIVE
"The camera at this time is not Okay, it's a little bit less than a competitor",NEGATIVE
Everything that I expect from a phone is great,POSITIVE
The high build quality and the really low weight of the compact phone,POSITIVE
"The camera and the Selfie are very nice and pleasing, along with the slamous feature",POSITIVE
High processing power for all applications Battery suitable for everyday tasks,POSITIVE
"OS updates are as well as possible, and during these updates, the device's performance is much higher.",POSITIVE
"Its salfic quality is really amazing, in general, it's a great phone",POSITIVE
"There's just one issue that is, the amount of interaction with Windows is a bit trickier",NEGATIVE
As always unbelievable. Strong security camera,POSITIVE
Definition is not necessary. Strong sound of a powerful battery. Unique hardware,POSITIVE
The features of this handset eliminate many of the everyday needs and are superbly designed and beautifully designed,POSITIVE
"In terms of price, it's also a good idea for those who are looking for a good, durable, beautiful and efficient phone, I would recommend buying",POSITIVE
"Beautiful design, high functionality, integrated and efficient operating system, very good body shape",POSITIVE
The body of the phone is plastic and it's not a decent design.,NEGATIVE
Weaknesses are design for a kid and a mockery that does not suit Adam's taste,NEGATIVE
The price of this product is not fixed and there are many fluctuations and may decrease in the future. I recommend not buying it yet,NEGATIVE
Do not buy this phone at all. You will be pleased to tell us,NEGATIVE
A weak battery that does not even get up to a day everywhere and you always need a charger or power bank,NEGATIVE
The price of the handset and accessories is very high and not economical,NEGATIVE
Weaker performance than competitors and not enough effort to satisfy customer satisfaction,NEGATIVE
"Due to Apple's registry plan, the iPhone is scarce, and even the seller can not be sure",NEGATIVE
One of the most famous smartphone brand with a great operating system,POSITIVE
"I love this handset, while retaining the authenticity of the brand's popular features as well as reasonable prices",POSITIVE
"Take this handset away from fashion-fashion-changing Apple's just enjoying it. In my opinion, that's not the point.",POSITIVE
Reliable and addictive operating system for durable battery life,POSITIVE
High speed in doing all the work the right size,POSITIVE
The camera sensor and specs are great for recording the best and most memorable photos,POSITIVE
"It's really nice and safe, and you will never get tired of it.",POSITIVE
"Apple's timely and up-to-date updates improve the phone's performance and enhance the security of the operating system, and the user's imagination is easy.",POSITIVE
"The handset is very warm and it gets hot, which burns your hand.",NEGATIVE
"A reliable, beautiful and fast phone with excellent camera",POSITIVE
If you have limited funds or the future of the phone is not important for you,NEGATIVE
"It's easy to think of the strength of the body, and that the size is such that it fits in a beautiful hand, and there's no need to worry about falling and slipping in my hand.",POSITIVE
"The camera does not make any mistake, especially the serious selfie camera",POSITIVE
The camera is poor and inadequate and has many problems,NEGATIVE
"I've been buying this handset for about a month after a brief investigation, and I have to say I'm not happy and if I could have chosen something better.",NEGATIVE
"It's a month that I bought, it's really a smartphone with strong hardware",POSITIVE
Unparalleled in all respects. I suggest that you do not miss the compactness of the handset and everything you like,POSITIVE
The smartest and best operating system is the world's most flavored device and it works with a comfortable hand.,POSITIVE
The phone is both great in looks and well-liked,POSITIVE
"Given this price point, if you want a great, great, and reliable phone",POSITIVE
The phone is very good and its price is right,POSITIVE
In terms of coloring it is also very versatile and the size of page 6.1 is so great that I think it's great!,POSITIVE
That's a great powerful camera,POSITIVE
"Its original price should be lower than this, with that XS money, with twice as much of it, that's the price of the X-that's not cheap.",NEGATIVE
Excellent chipset camera. Excellent battery life. Wireless charging and fast charging,POSITIVE
"A bit of screen margin is more than the other two, because it's not able to see HD content on the Internet.",NEGATIVE
It's just a matter of time to see if you're looking at it right away.,POSITIVE
"I bought it for two months, I would recommend it",POSITIVE
The handset is ultra-high-quality and up-to-the-minute and it's just that it's impossible to drop the external memory.,POSITIVE
"With the dollar rising, noone can buy it too expensive",NEGATIVE
"It's great, but it's very hard to afford its expencive",NEGATIVE
"That's very beautiful, the golden color of this product is also more beautiful",POSITIVE
Not having a very high price innovation. Do not have a Persian menu,NEGATIVE
Do not have a user interface slot not user friendly,NEGATIVE
"Now, there is nothing new except for the style to deliver, which is not important for an advanced user who needs performance and performance.",NEGATIVE
What's expected of a pioneering smartphone as the flagship of today is that it's almost unrivaled and offers all the top technological innovations to competitors.,NEGATIVE
"In contrast, Chinese, Korean and Japanese competitors have nothing to say",NEGATIVE
A conservative phone with a cane that uses the technology of last year,NEGATIVE
The low-resolution display is much higher than the current leading-edge handsets,NEGATIVE
The screen quality is lower than the current leading position of the camera and sensor inside the screen,NEGATIVE
"Low-resolution sal AF camera with OS and Interface, which is still not a user friendly",NEGATIVE
Original camera with a low resolution SD card slot to add storage space,NEGATIVE
Not having a Persian menu that is necessary for many Iranian users and did not do so due to Apple's political origins.,NEGATIVE
Do not have a camera with a wide lens without a dual selfie camera with a low battery charge,NEGATIVE
Not having an FM radio without having a normal headphone output on the body and having to use a conversion for other headphones,NEGATIVE
"Extremely limited limitations for a very limited Bluetooth user, especially in sending and receiving files and images and video",NEGATIVE
Beautiful dual-brand brand name,POSITIVE
"More importantly, the operating system, which is slightly weaker, is more like a prison because it does not have access to anything. Hope to be better",NEGATIVE
"It has a great graphic processor, it's excellent and there's no weakness",POSITIVE
"I have this phone, I'm so pleased with it, and I do not speak good games like Pabni and Fortinite, I'm great I love him.",POSITIVE
"In terms of beauty, elegance and quality, no brand is as much as that. Do not hesitate to make a genuine brand and a luxury item in your purchase",POSITIVE
"This great phone, I suggest you buy your home country",POSITIVE
All-glass structure of super size with good display efficiency,POSITIVE
The quality of construction and high facilities and beautiful appearance,POSITIVE
The high price of highlighting the camera weighs a little too much,NEGATIVE
I got this phone and I'm very pleased.,POSITIVE
The handset is very robust in all respects and is quite affordable in terms of memory capacity.,POSITIVE
Very suitable for use as phablet and unmatched for gaming,POSITIVE
"By the year before, it would be all about buying it with all its high prices. But this price is not really reasonable for buying, and little can buy it.",NEGATIVE
"Since the home button was removed from it, authenticity and specificity also disappeared",NEGATIVE
"Well, but not worth it with this price",NEGATIVE
Just looking for more profits and reducing the quality of the product,NEGATIVE
"I've come up with software updates, I can say that even once did not hang around",POSITIVE
"It makes you feel good, quality and facilities is not enough and disappointing",NEGATIVE
The larger size and the richer and more robust hardware are advanced,POSITIVE
The quality of the camera and the speed of the phone is just unique and unique,POSITIVE
good It is really great at all,POSITIVE
Superior screen quality crazy screen,POSITIVE
The camera's emergence and weak battery are its weaknesses,NEGATIVE
Its features are so low that it does not cost much at all,NEGATIVE
"If you can buy it, do not hesitate to buy it",POSITIVE
Regular and excellent updates and system security,POSITIVE
Flexible user interface and user friendly. Good quality camera,POSITIVE
Very simple and user-friendly interface,POSITIVE
The system is not smooth and the code is faulty and incomplete,NEGATIVE
Materials are of no quality and not durable,NEGATIVE
The company did not succeed in making this product proud and not successful,NEGATIVE
The low-end processor is not so good just the class,NEGATIVE
"Very low charge, eliminating hands-free conversion, is also very high",NEGATIVE
AI is strong and it's a great phone,POSITIVE
I saw very well that it was not nice. The processor is weak,NEGATIVE
The charging speed is very low and does not reverse charge,NEGATIVE
Varied and beautiful colors and high build quality due to the use of high quality metal and glass and covering the front and back surfaces,POSITIVE
"Extremely large display with a very good and excellent quality, which is very absorbed by the body, and the low resolution of the cut-out display and super-processor",POSITIVE
High price does not support camera lens memory card,NEGATIVE
"So strong and stylish and lifelong, you have to get your hands to understand what I mean",POSITIVE
It does not matter if you do not have the money to buy it,POSITIVE
Powerful system and great facilities do not have much to cook,NEGATIVE
The size is too large and not suitable for everyday use,NEGATIVE
"At lower prices, these products can be better off and not worth buying",NEGATIVE
It is not high quality and powerful,POSITIVE
There is nothing to say about it in comparison to duplicate rivals without creativity,NEGATIVE
Design is beautiful and well-designed,POSITIVE
"Most of the money is branded, or else the rest of the competition is better",NEGATIVE
Excellent high-speed display. Stylish and beautiful battery,POSITIVE
"Similar to the previous generation, not having a fast charging price",NEGATIVE
Extremely large body design and high-speed unique phone,POSITIVE
It is always innovative in various fields and special brand and luxury,POSITIVE
Superior technology has made it unrivaled,POSITIVE
Higher prices make it worse,NEGATIVE
Precision camera with gigantic and quality display,POSITIVE
The protruding camera out of the body of the lack of specific innovation over the previous generation,NEGATIVE
It's not worth the purchase because the screen and the camera are poor,NEGATIVE
It is very horny and attractive and beautiful,POSITIVE
Its exterior design has a lot of charm that is considered a positive point,POSITIVE
I was surprised by the high power and good functioning of the device,POSITIVE
"The high price makes it impossible for Iran to buy it, I wish it was not grown",NEGATIVE
"It does not have the ability to compete with new and up-to-date models and overall has a moderate, and perhaps even weak, quality.",NEGATIVE
It would have been better if the camera had a dual standby or more chargeable capacity,NEGATIVE
"Unfortunately, after a week of using the product, I'm not happy about its quality",NEGATIVE
Weak and poor support when you buy if you do not care about the warranty and the provider,NEGATIVE
I regret buying this product and decide to post it.,NEGATIVE
"The way the device works is not good and the customer is not satisfied, its makers must be responsive",NEGATIVE
"How long you use it, you fall in love and you can not leave it alone",POSITIVE
The accuracy of the sensors could be better now is a little weak and not satisfactory,NEGATIVE
Good and efficient. Summarizing everything is great,POSITIVE
"A wholesome and interesting product. If you get higher prices, do not hesitate to buy",POSITIVE
"The price for us in Iran is excessive, but I think it's worth the purchase because it's a full-fledged phone",POSITIVE
"Its a good camera, but it does not matter to me about the battery, and it's good to keep charging",POSITIVE
"Everything is great and, as always, its products are good and efficient",POSITIVE
You can use two SIM cards simultaneously. This is good news for us,POSITIVE
"No matter how good it is, not too much money. Unfortunately, only rich people can buy it",NEGATIVE
great image recognition Faster Unique Page Quality,POSITIVE
Hardware Compatibility with the Operating System ease of use of the handset,POSITIVE
Beautifully designed long-term psychological design,POSITIVE
It's old and it's not used in the past,NEGATIVE
Its quality is downgraded and not supported,NEGATIVE
Consumers of this product will experience a severe decline in performance after a few years,NEGATIVE
No grunge is not without reason. The superiority of this can not be ignored cause it's good,POSITIVE
Shelf life is a very important product that has a brilliant background in this field,POSITIVE
"The competitors are better, so take less money and buy them that your money is not worse",NEGATIVE
There is only lacquer but it's not great. It's not worth it,NEGATIVE
It's just out of sight and it's not used here. Everyone is full of restrictions,NEGATIVE
No bias Be logical it is not a good choice,NEGATIVE
"The display quality is high, but it's a lot big, and it's not enough for this screen",NEGATIVE
Good build quality and gold-resisting body,POSITIVE
The high speed and fluidity of the system are up-to-date and luxury,POSITIVE
